angle,intensity
5.0,123.0
5.01,97.0
5.02,106.0
5.03,97.0
5.04,93.0
5.05,134.0
5.06,130.0
5.07,112.0
5.08,84.0
5.09,101.0
5.1,121.0
5.11,114.0
5.12,85.0
5.13,105.0
5.14,95.0
5.15,99.0
5.16,128.0
5.17,125.0
5.18,109.0
5.19,102.0
5.2,112.0
5.21,124.0
5.22,122.0
5.23,110.0
5.24,119.0
5.25,120.0
5.26,94.0
5.27,118.0
5.28,118.0
5.29,117.0
5.3,133.0
5.31,102.0
5.32,89.0
5.33,117.0
5.34,102.0
5.35,119.0
5.36,101.0
5.37,107.0
5.38,96.0
5.39,117.0
5.4,133.0
5.41,137.0
5.42,107.0
5.43,119.0
5.44,103.0
5.45,111.0
5.46,100.0
5.47,97.0
5.48,121.0
5.49,103.0
5.5,140.0
5.51,99.0
5.52,104.0
5.53,119.0
5.54,107.0
5.55,116.0
5.56,108.0
5.57,116.0
5.58,113.0
5.59,103.0
5.6,91.0
5.61,99.0
5.62,104.0
5.63,127.0
5.64,129.0
5.65,110.0
5.66,120.0
5.67,107.0
5.68,126.0
5.69,121.0
5.7,108.0
5.71,107.0
5.72,121.0
5.73,116.0
5.74,117.0
5.75,100.0
5.76,113.0
5.77,131.0
5.78,112.0
5.79,97.0
5.8,108.0
5.81,103.0
5.82,86.0
5.83,120.0
5.84,122.0
5.85,126.0
5.86,111.0
5.87,120.0
5.88,105.0
5.89,126.0
5.9,93.0
5.91,114.0
5.92,117.0
5.93,99.0
5.94,105.0
5.95,128.0
5.96,113.0
5.97,100.0
5.98,106.0
5.99,112.0
6.0,106.0
6.01,107.0
6.02,119.0
6.03,104.0
6.04,97.0
6.05,124.0
6.06,125.0
6.07,98.0
6.08,121.0
6.09,105.0
6.1,103.0
6.11,113.0
6.12,110.0
6.13,127.0
6.14,116.0
6.15,106.0
6.16,129.0
6.17,126.0
6.18,127.0
6.19,115.0
6.2,92.0
6.21,121.0
6.22,144.0
6.23,107.0
6.24,106.0
6.25,123.0
6.26,105.0
6.27,97.0
6.28,99.0
6.29,115.0
6.3,111.0
6.31,130.0
6.32,110.0
6.33,122.0
6.34,133.0
6.35,119.0
6.36,104.0
6.37,114.0
6.38,111.0
6.39,104.0
6.4,127.0
6.41,129.0
6.42,143.0
6.43,123.0
6.44,128.0
6.45,113.0
6.46,112.0
6.47,134.0
6.48,122.0
6.49,133.0
6.5,112.0
6.51,109.0
6.52,103.0
6.53,136.0
6.54,104.0
6.55,118.0
6.56,114.0
6.57,98.0
6.58,128.0
6.59,128.0
6.6,124.0
6.61,117.0
6.62,108.0
6.63,114.0
6.64,130.0
6.65,106.0
6.66,107.0
6.67,98.0
6.68,137.0
6.69,133.0
6.7,113.0
6.71,129.0
6.72,118.0
6.73,130.0
6.74,131.0
6.75,98.0
6.76,134.0
6.77,124.0
6.78,111.0
6.79,106.0
6.8,101.0
6.81,126.0
6.82,114.0
6.83,129.0
6.84,127.0
6.85,118.0
6.86,124.0
6.87,122.0
6.88,121.0
6.89,134.0
6.9,122.0
6.91,131.0
6.92,111.0
6.93,101.0
6.94,123.0
6.95,112.0
6.96,130.0
6.97,112.0
6.98,116.0
6.99,118.0
7.0,101.0
7.01,129.0
7.02,115.0
7.03,116.0
7.04,117.0
7.05,112.0
7.06,120.0
7.07,132.0
7.08,112.0
7.09,118.0
7.1,124.0
7.11,122.0
7.12,116.0
7.13,130.0
7.14,110.0
7.15,126.0
7.16,124.0
7.17,120.0
7.18,113.0
7.19,127.0
7.2,136.0
7.21,107.0
7.22,105.0
7.23,111.0
7.24,111.0
7.25,104.0
7.26,124.0
7.27,129.0
7.28,124.0
7.29,112.0
7.3,131.0
7.31,107.0
7.32,105.0
7.33,114.0
7.34,129.0
7.35,124.0
7.36,122.0
7.37,124.0
7.38,126.0
7.39,127.0
7.4,107.0
7.41,92.0
7.42,109.0
7.43,117.0
7.44,113.0
7.45,131.0
7.46,139.0
7.47,123.0
7.48,132.0
7.49,109.0
7.5,107.0
7.51,107.0
7.52,101.0
7.53,140.0
7.54,111.0
7.55,111.0
7.56,119.0
7.57,123.0
7.58,116.0
7.59,123.0
