angle,intensity
5.0,16.0
5.01,16.0
5.02,17.0
5.03,11.0
5.04,16.0
5.05,11.0
5.06,26.0
5.07,14.0
5.08,20.0
5.09,9.0
5.1,17.0
5.11,18.0
5.12,21.0
5.13,20.0
5.14,17.0
5.15,11.0
5.16,15.0
5.17,15.0
5.18,11.0
5.19,11.0
5.2,19.0
5.21,15.0
5.22,16.0
5.23,20.0
5.24,23.0
5.25,17.0
5.26,25.0
5.27,21.0
5.28,15.0
5.29,19.0
5.3,19.0
5.31,14.0
5.32,24.0
5.33,22.0
5.34,20.0
5.35,17.0
5.36,18.0
5.37,11.0
5.38,17.0
5.39,21.0
5.4,13.0
5.41,22.0
5.42,23.0
5.43,15.0
5.44,14.0
5.45,32.0
5.46,20.0
5.47,13.0
5.48,14.0
5.49,19.0
5.5,24.0
5.51,20.0
5.52,21.0
5.53,22.0
5.54,19.0
5.55,18.0
5.56,26.0
5.57,17.0
5.58,17.0
5.59,27.0
5.6,28.0
5.61,21.0
5.62,14.0
5.63,17.0
5.64,20.0
5.65,13.0
5.66,13.0
5.67,19.0
5.68,25.0
5.69,13.0
5.7,21.0
5.71,28.0
5.72,22.0
5.73,21.0
5.74,21.0
5.75,21.0
5.76,21.0
5.77,20.0
5.78,23.0
5.79,21.0
5.8,19.0
5.81,25.0
5.82,23.0
5.83,18.0
5.84,24.0
5.85,21.0
5.86,19.0
5.87,27.0
5.88,17.0
5.89,23.0
5.9,11.0
5.91,14.0
5.92,18.0
5.93,19.0
5.94,18.0
5.95,21.0
5.96,19.0
5.97,18.0
5.98,13.0
5.99,22.0
6.0,17.0
6.01,11.0
6.02,21.0
6.03,15.0
6.04,15.0
6.05,20.0
6.06,19.0
6.07,12.0
6.08,8.0
6.09,10.0
6.1,10.0
6.11,15.0
6.12,12.0
6.13,22.0
6.14,12.0
6.15,15.0
6.16,12.0
6.17,12.0
6.18,13.0
6.19,16.0
6.2,8.0
6.21,11.0
6.22,8.0
6.23,11.0
6.24,8.0
6.25,17.0
6.26,14.0
6.27,8.0
6.28,18.0
6.29,9.0
6.3,10.0
6.31,9.0
6.32,5.0
6.33,12.0
6.34,17.0
6.35,12.0
6.36,13.0
6.37,14.0
6.38,6.0
6.39,14.0
6.4,13.0
6.41,13.0
6.42,7.0
6.43,9.0
6.44,10.0
6.45,12.0
6.46,14.0
6.47,11.0
6.48,8.0
6.49,15.0
6.5,9.0
6.51,11.0
6.52,18.0
6.53,10.0
6.54,19.0
6.55,12.0
6.56,9.0
6.57,14.0
6.58,11.0
6.59,11.0
6.6,6.0
6.61,11.0
6.62,5.0
6.63,6.0
6.64,11.0
6.65,13.0
6.66,8.0
6.67,17.0
6.68,8.0
6.69,14.0
6.7,11.0
6.71,12.0
6.72,9.0
6.73,4.0
6.74,15.0
6.75,12.0
6.76,16.0
6.77,10.0
6.78,15.0
6.79,7.0
6.8,10.0
6.81,13.0
6.82,8.0
6.83,10.0
6.84,10.0
6.85,9.0
6.86,15.0
6.87,8.0
6.88,17.0
6.89,7.0
6.9,12.0
6.91,13.0
6.92,6.0
6.93,8.0
6.94,6.0
6.95,9.0
6.96,13.0
6.97,9.0
6.98,10.0
6.99,17.0
7.0,7.0
7.01,9.0
7.02,9.0
7.03,10.0
7.04,7.0
7.05,10.0
7.06,14.0
7.07,9.0
7.08,8.0
7.09,8.0
7.1,10.0
7.11,11.0
7.12,9.0
7.13,10.0
7.14,11.0
7.15,10.0
7.16,9.0
7.17,9.0
7.18,15.0
7.19,10.0
7.2,7.0
7.21,14.0
7.22,15.0
7.23,8.0
7.24,8.0
7.25,18.0
7.26,14.0
7.27,17.0
7.28,10.0
7.29,10.0
7.3,13.0
7.31,7.0
7.32,10.0
7.33,11.0
7.34,14.0
7.35,11.0
7.36,15.0
7.37,14.0
7.38,13.0
7.39,14.0
7.4,14.0
7.41,11.0
7.42,9.0
7.43,11.0
7.44,7.0
7.45,14.0
7.46,10.0
7.47,11.0
7.48,10.0
7.49,10.0
7.5,14.0
7.51,14.0
7.52,6.0
7.53,9.0
7.54,10.0
7.55,13.0
7.56,9.0
7.57,15.0
7.58,9.0
7.59,16.0
7.6,14.0
7.61,20.0
7.62,15.0
7.63,14.0
7.64,12.0
7.65,17.0
7.66,17.0
7.67,18.0
7.68,13.0
7.69,13.0
7.7,14.0
7.71,18.0
7.72,8.0
7.73,8.0
7.74,10.0
7.75,16.0
7.76,13.0
7.77,9.0
7.78,9.0
7.79,17.0
7.8,11.0
7.81,12.0
7.82,13.0
7.83,10.0
7.84,14.0
7.85,12.0
7.86,25.0
7.87,10.0
7.88,16.0
7.89,17.0
7.9,15.0
7.91,11.0
7.92,16.0
7.93,14.0
7.94,12.0
7.95,13.0
7.96,17.0
7.97,16.0
7.98,9.0
7.99,15.0
8.0,8.0
8.01,11.0
8.02,14.0
8.03,23.0
8.04,19.0
8.05,12.0
8.06,13.0
8.07,14.0
8.08,12.0
8.09,13.0
8.1,12.0
8.11,13.0
8.12,9.0
8.13,12.0
8.14,18.0
8.15,16.0
8.16,12.0
8.17,20.0
8.18,17.0
8.19,10.0
8.2,8.0
8.21,20.0
8.22,10.0
8.23,14.0
8.24,10.0
8.25,7.0
8.26,7.0
8.27,13.0
8.28,12.0
8.29,9.0
8.3,13.0
8.31,15.0
8.32,9.0
8.33,7.0
8.34,10.0
8.35,18.0
8.36,8.0
8.37,14.0
8.38,5.0
8.39,16.0
8.4,15.0
8.41,7.0
8.42,12.0
8.43,15.0
8.44,10.0
8.45,12.0
8.46,18.0
8.47,13.0
8.48,13.0
8.49,13.0
8.5,12.0
8.51,13.0
8.52,14.0
8.53,11.0
8.54,9.0
8.55,5.0
8.56,6.0
8.57,10.0
8.58,9.0
8.59,9.0
8.6,10.0
8.61,13.0
8.62,7.0
8.63,9.0
8.64,10.0
8.65,12.0
8.66,10.0
8.67,12.0
8.68,14.0
8.69,10.0
8.7,6.0
8.71,6.0
8.72,10.0
8.73,10.0
8.74,9.0
8.75,9.0
8.76,9.0
8.77,9.0
8.78,10.0
8.79,12.0
8.8,10.0
8.81,10.0
8.82,5.0
8.83,7.0
8.84,7.0
8.85,13.0
8.86,10.0
8.87,11.0
8.88,15.0
8.89,15.0
8.9,10.0
8.91,9.0
8.92,9.0
8.93,14.0
8.94,8.0
8.95,12.0
8.96,17.0
8.97,10.0
8.98,4.0
8.99,10.0
9.0,10.0
9.01,9.0
9.02,8.0
9.03,17.0
9.04,15.0
9.05,7.0
9.06,9.0
9.07,15.0
9.08,9.0
9.09,12.0
9.1,15.0
9.11,12.0
9.12,13.0
9.13,12.0
9.14,12.0
9.15,13.0
9.16,10.0
9.17,11.0
9.18,12.0
9.19,13.0
9.2,11.0
9.21,5.0
9.22,15.0
9.23,9.0
9.24,6.0
9.25,8.0
9.26,14.0
9.27,13.0
9.28,17.0
9.29,11.0
9.3,6.0
9.31,14.0
9.32,14.0
9.33,13.0
9.34,15.0
9.35,8.0
9.36,11.0
9.37,5.0
9.38,12.0
9.39,15.0
9.4,12.0
9.41,10.0
9.42,10.0
9.43,24.0
9.44,21.0
9.45,12.0
9.46,20.0
9.47,8.0
9.48,9.0
9.49,16.0
9.5,9.0
9.51,11.0
9.52,14.0
