angle,intensity
5.0,36.0
5.01,49.0
5.02,44.0
5.03,32.0
5.04,48.0
5.05,38.0
5.06,55.0
5.07,31.0
5.08,44.0
5.09,52.0
5.1,47.0
5.11,40.0
5.12,40.0
5.13,42.0
5.14,50.0
5.15,45.0
5.16,38.0
5.17,52.0
5.18,41.0
5.19,30.0
5.2,46.0
5.21,43.0
5.22,31.0
5.23,51.0
5.24,34.0
5.25,41.0
5.26,34.0
5.27,49.0
5.28,35.0
5.29,52.0
5.3,37.0
5.31,38.0
5.32,45.0
5.33,48.0
5.34,41.0
5.35,31.0
5.36,47.0
5.37,33.0
5.38,48.0
5.39,44.0
5.4,33.0
5.41,48.0
5.42,69.0
5.43,45.0
5.44,44.0
5.45,49.0
5.46,60.0
5.47,56.0
5.48,48.0
5.49,47.0
5.5,39.0
5.51,39.0
5.52,37.0
5.53,37.0
5.54,44.0
5.55,45.0
5.56,39.0
5.57,42.0
5.58,39.0
5.59,45.0
5.6,51.0
5.61,42.0
5.62,35.0
5.63,47.0
5.64,34.0
5.65,47.0
5.66,37.0
5.67,41.0
5.68,57.0
5.69,45.0
5.7,41.0
5.71,40.0
5.72,39.0
5.73,54.0
5.74,44.0
5.75,37.0
5.76,55.0
5.77,46.0
5.78,40.0
5.79,50.0
5.8,39.0
5.81,46.0
5.82,50.0
5.83,41.0
5.84,51.0
5.85,51.0
5.86,42.0
5.87,52.0
5.88,51.0
5.89,39.0
5.9,47.0
5.91,43.0
5.92,34.0
5.93,34.0
5.94,45.0
5.95,42.0
5.96,51.0
5.97,39.0
5.98,46.0
5.99,43.0
6.0,40.0
6.01,26.0
6.02,38.0
6.03,56.0
6.04,43.0
6.05,45.0
6.06,54.0
6.07,42.0
6.08,52.0
6.09,36.0
6.1,44.0
6.11,51.0
6.12,47.0
6.13,55.0
6.14,42.0
6.15,30.0
6.16,43.0
6.17,44.0
6.18,60.0
6.19,47.0
6.2,46.0
6.21,50.0
6.22,46.0
6.23,33.0
6.24,35.0
6.25,46.0
6.26,47.0
6.27,36.0
6.28,38.0
6.29,35.0
6.3,43.0
6.31,45.0
6.32,46.0
6.33,49.0
6.34,40.0
6.35,36.0
6.36,37.0
6.37,37.0
6.38,41.0
6.39,35.0
6.4,35.0
6.41,42.0
6.42,45.0
6.43,50.0
6.44,39.0
6.45,55.0
6.46,50.0
6.47,47.0
6.48,45.0
6.49,39.0
6.5,43.0
6.51,47.0
6.52,39.0
6.53,44.0
6.54,52.0
6.55,43.0
6.56,39.0
6.57,34.0
6.58,47.0
6.59,50.0
6.6,34.0
6.61,50.0
6.62,36.0
6.63,39.0
6.64,60.0
6.65,51.0
6.66,41.0
6.67,47.0
6.68,47.0
6.69,40.0
6.7,35.0
6.71,45.0
6.72,49.0
6.73,49.0
6.74,43.0
6.75,44.0
6.76,39.0
6.77,37.0
6.78,45.0
6.79,39.0
6.8,31.0
6.81,50.0
6.82,40.0
6.83,40.0
6.84,44.0
6.85,42.0
6.86,42.0
6.87,50.0
6.88,47.0
6.89,40.0
6.9,49.0
6.91,36.0
6.92,39.0
6.93,50.0
6.94,53.0
6.95,59.0
6.96,45.0
6.97,41.0
6.98,40.0
6.99,36.0
7.0,39.0
7.01,40.0
7.02,42.0
7.03,39.0
7.04,50.0
7.05,44.0
7.06,48.0
7.07,43.0
7.08,42.0
7.09,34.0
7.1,47.0
7.11,47.0
7.12,42.0
7.13,40.0
7.14,36.0
7.15,38.0
7.16,56.0
7.17,60.0
7.18,53.0
7.19,30.0
7.2,38.0
7.21,45.0
7.22,49.0
7.23,46.0
7.24,37.0
7.25,47.0
7.26,39.0
7.27,47.0
7.28,45.0
7.29,47.0
7.3,39.0
7.31,33.0
7.32,40.0
7.33,42.0
7.34,43.0
7.35,41.0
7.36,32.0
7.37,44.0
7.38,52.0
7.39,46.0
7.4,39.0
7.41,36.0
7.42,44.0
7.43,37.0
7.44,44.0
7.45,35.0
7.46,43.0
7.47,48.0
7.48,31.0
7.49,54.0
7.5,30.0
7.51,41.0
7.52,39.0
7.53,51.0
7.54,42.0
7.55,40.0
7.56,41.0
7.57,41.0
7.58,37.0
7.59,47.0
7.6,46.0
7.61,39.0
7.62,40.0
7.63,34.0
7.64,38.0
7.65,32.0
7.66,39.0
7.67,38.0
7.68,43.0
7.69,47.0
7.7,40.0
7.71,42.0
7.72,35.0
7.73,38.0
7.74,50.0
7.75,32.0
7.76,40.0
7.77,36.0
7.78,43.0
7.79,43.0
7.8,33.0
7.81,45.0
7.82,38.0
7.83,36.0
7.84,43.0
7.85,45.0
7.86,41.0
7.87,33.0
7.88,40.0
7.89,59.0
7.9,38.0
7.91,42.0
7.92,47.0
7.93,35.0
7.94,49.0
7.95,34.0
7.96,41.0
7.97,37.0
7.98,46.0
7.99,53.0
8.0,41.0
8.01,31.0
8.02,39.0
8.03,49.0
8.04,42.0
8.05,41.0
8.06,48.0
8.07,37.0
8.08,34.0
8.09,45.0
8.1,51.0
8.11,44.0
8.12,40.0
8.13,44.0
8.14,34.0
8.15,50.0
8.16,49.0
8.17,42.0
8.18,44.0
8.19,47.0
8.2,38.0
8.21,35.0
8.22,36.0
8.23,40.0
8.24,43.0
8.25,44.0
8.26,40.0
8.27,40.0
8.28,42.0
8.29,32.0
8.3,50.0
8.31,26.0
8.32,49.0
8.33,47.0
8.34,30.0
8.35,38.0
8.36,32.0
8.37,40.0
8.38,58.0
8.39,54.0
8.4,46.0
8.41,38.0
8.42,38.0
8.43,40.0
8.44,51.0
8.45,41.0
8.46,43.0
8.47,51.0
8.48,29.0
8.49,41.0
8.5,54.0
8.51,27.0
8.52,45.0
8.53,41.0
8.54,42.0
8.55,52.0
8.56,45.0
8.57,34.0
8.58,36.0
8.59,43.0
8.6,34.0
8.61,54.0
8.62,49.0
8.63,51.0
8.64,46.0
8.65,44.0
8.66,46.0
8.67,55.0
8.68,40.0
8.69,34.0
8.7,30.0
8.71,42.0
8.72,41.0
8.73,41.0
8.74,50.0
8.75,40.0
8.76,42.0
8.77,51.0
8.78,46.0
8.79,44.0
8.8,45.0
8.81,63.0
8.82,48.0
8.83,45.0
8.84,47.0
8.85,47.0
8.86,50.0
8.87,42.0
8.88,44.0
8.89,43.0
8.9,49.0
8.91,37.0
8.92,45.0
8.93,32.0
8.94,45.0
8.95,39.0
8.96,46.0
8.97,51.0
8.98,43.0
8.99,55.0
9.0,42.0
9.01,37.0
9.02,44.0
9.03,37.0
9.04,58.0
9.05,43.0
9.06,50.0
9.07,58.0
9.08,33.0
9.09,42.0
9.1,40.0
9.11,47.0
9.12,43.0
9.13,44.0
9.14,38.0
9.15,35.0
9.16,36.0
9.17,62.0
9.18,49.0
9.19,40.0
9.2,36.0
9.21,38.0
9.22,47.0
9.23,45.0
9.24,46.0
9.25,40.0
9.26,31.0
9.27,37.0
9.28,47.0
9.29,36.0
9.3,36.0
9.31,36.0
9.32,46.0
9.33,47.0
9.34,46.0
9.35,49.0
9.36,42.0
9.37,42.0
9.38,59.0
9.39,41.0
9.4,58.0
9.41,35.0
9.42,37.0
9.43,49.0
9.44,58.0
9.45,41.0
9.46,39.0
9.47,35.0
9.48,52.0
9.49,50.0
9.5,55.0
9.51,32.0
9.52,46.0
9.53,42.0
9.54,40.0
9.55,47.0
9.56,35.0
9.57,52.0
9.58,42.0
9.59,54.0
9.6,48.0
9.61,58.0
9.62,36.0
9.63,50.0
9.64,53.0
9.65,55.0
9.66,56.0
9.67,48.0
9.68,52.0
9.69,42.0
9.7,47.0
9.71,50.0
9.72,38.0
9.73,28.0
9.74,49.0
9.75,43.0
9.76,45.0
9.77,45.0
9.78,40.0
9.79,45.0
9.8,58.0
9.81,40.0
9.82,39.0
9.83,51.0
9.84,50.0
9.85,46.0
9.86,46.0
9.87,53.0
9.88,46.0
9.89,41.0
9.9,48.0
9.91,43.0
9.92,56.0
9.93,41.0
9.94,47.0
9.95,42.0
9.96,45.0
9.97,43.0
9.98,36.0
9.99,51.0
10.0,43.0
10.01,59.0
10.02,32.0
10.03,41.0
10.04,39.0
10.05,41.0
10.06,51.0
10.07,35.0
10.08,36.0
10.09,40.0
10.1,41.0
10.11,29.0
10.12,59.0
10.13,38.0
10.14,43.0
10.15,47.0
10.16,46.0
10.17,43.0
10.18,45.0
10.19,40.0
10.2,43.0
10.21,54.0
10.22,46.0
10.23,47.0
10.24,47.0
10.25,43.0
10.26,49.0
10.27,36.0
10.28,46.0
10.29,52.0
10.3,41.0
10.31,37.0
10.32,51.0
10.33,46.0
10.34,47.0
10.35,56.0
10.36,39.0
10.37,41.0
10.38,35.0
10.39,44.0
10.4,50.0
10.41,46.0
10.42,42.0
10.43,45.0
10.44,48.0
10.45,48.0
10.46,51.0
10.47,48.0
10.48,50.0
10.49,38.0
10.5,44.0
10.51,33.0
10.52,40.0
10.53,54.0
10.54,49.0
10.55,44.0
10.56,49.0
10.57,45.0
10.58,60.0
10.59,54.0
10.6,42.0
10.61,61.0
10.62,44.0
10.63,50.0
10.64,49.0
10.65,48.0
10.66,50.0
10.67,48.0
10.68,39.0
10.69,40.0
10.7,39.0
10.71,48.0
10.72,39.0
10.73,43.0
10.74,44.0
10.75,56.0
10.76,53.0
10.77,37.0
10.78,46.0
10.79,55.0
10.8,55.0
10.81,44.0
10.82,48.0
10.83,48.0
10.84,40.0
10.85,44.0
10.86,53.0
10.87,44.0
10.88,55.0
10.89,49.0
10.9,46.0
10.91,41.0
10.92,37.0
10.93,31.0
10.94,36.0
10.95,34.0
10.96,31.0
10.97,56.0
10.98,49.0
10.99,41.0
11.0,50.0
11.01,49.0
11.02,40.0
11.03,45.0
11.04,37.0
11.05,42.0
11.06,51.0
11.07,34.0
11.08,52.0
11.09,53.0
11.1,47.0
11.11,41.0
11.12,44.0
11.13,32.0
11.14,44.0
11.15,40.0
11.16,45.0
11.17,36.0
11.18,44.0
11.19,56.0
11.2,43.0
11.21,33.0
11.22,46.0
11.23,48.0
11.24,54.0
11.25,50.0
11.26,47.0
11.27,32.0
11.28,56.0
11.29,42.0
11.3,45.0
11.31,51.0
11.32,51.0
11.33,41.0
11.34,47.0
11.35,39.0
11.36,50.0
11.37,33.0
11.38,53.0
11.39,42.0
11.4,42.0
11.41,47.0
11.42,45.0
11.43,36.0
11.44,45.0
11.45,43.0
11.46,49.0
11.47,45.0
11.48,55.0
11.49,49.0
11.5,34.0
11.51,49.0
11.52,40.0
11.53,38.0
11.54,60.0
11.55,44.0
