      Zigrasite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from single crystal data of R120143
      Hawthorne F C, Simmons W B
      Mineralogical Magazine 74 (2010) 567-575
      The crystal structure of zigrasite, MgZr(PO4)2(H2O)4,
      a heteropolyhedral framework structure
      Locality: Newry, Oxford County, Maine, USA
      _database_code_amcsd 0014605

      CELL PARAMETERS:   5.3070  9.3410  9.6380   97.330   91.500   90.500
      SPACE GROUP: P-1       

                59.80          1.34        1.5465   -1  -1   6
                59.97          1.29        1.5426   -3   3   0
                60.40          3.52        1.5325    3  -3   1
                60.48          4.92        1.5307    2   0   5
                60.59          1.07        1.5282   -3  -3   1
                60.67          2.82        1.5265    3   3   0
                60.71          1.50        1.5256    3  -1   3
                62.21          1.15        1.4922   -3  -3   2
                62.33          1.58        1.4897   -1   3   5
                62.50          1.12        1.4860   -2  -4   4
                63.28          1.56        1.4696   -1   5   3
                63.39          3.53        1.4673    1   3   5
                64.39          2.78        1.4469   -1  -3   6
                65.15          2.41        1.4319    1  -3   6
                66.56          1.90        1.4049    3  -1   4
                68.85          1.59        1.3637   -2  -4   5
                69.22          1.84        1.3573    0  -2   7
                69.70          1.13        1.3491    2   0   6
                69.85          2.17        1.3466    2  -6   1
                70.15          2.12        1.3415   -2   6   0
                70.39          2.33        1.3375   -2  -6   1
                70.95          1.12        1.3284    1   5   4
                71.01          1.65        1.3274    2   6   0
                71.08          3.18        1.3262    4   0   0
                71.13          1.26        1.3255    2  -6   2
                71.36          1.53        1.3218   -2  -6   2
                71.56          1.27        1.3186   -4   0   1
                71.81          1.02        1.3146   -1   3   6
                73.04          1.52        1.2954   -1   1   7
                73.55          1.51        1.2878   -1   7   0
                74.06          1.24        1.2801   -1  -3   7
                74.19          2.00        1.2781    1   1   7
                74.75          1.33        1.2700   -4  -2   1
                74.80          2.29        1.2693    4  -2   1
                75.11          1.83        1.2648    3  -5   2
                75.24          1.00        1.2629   -3  -5   2
                75.67          1.28        1.2568   -1   7   1
                76.31          1.38        1.2478    1   7   1
                76.86          1.76        1.2403    0   4   6
                77.01          1.28        1.2383    4  -2   2
                77.83          1.22        1.2272   -3  -5   3
                78.37          1.01        1.2201   -2  -2   7
                81.78          1.49        1.1776   -3   3   5
                85.15          1.29        1.1394    3   5   3
                89.62          1.09        1.0939    0   8   2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
