      Wherryite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from single crystal data of R141161
      Cooper M A, Hawthorne F C
      The Canadian Mineralogist 32 (1994) 373-380
      The crystal structure of wherryite, Pb7Cu2(SO4)4(SiO4)2(OH)2, a mixed
      sulfate-silicate with [M(TO4)2] chains
      Locality: Mammoth-St Anthony mine, Tiger, Pinal County, Arizona, USA
      _database_code_amcsd 0005365

      CELL PARAMETERS:  20.8020  5.7870  9.1400   90.000   91.200   90.000
      SPACE GROUP: C2/m      

                63.19          1.12        1.4716   -1   3   4
                64.40          5.50        1.4468    0   4   0
                64.40          2.21        1.4467   -3   1   6
                65.00          2.07        1.4348    3   1   6
                65.43          2.19        1.4264  -11   1   4
                65.73          1.02        1.4207   -6   2   5
                66.97          1.64        1.3973   -5   1   6
                67.09          1.29        1.3952   -5   3   4
                67.74          2.54        1.3834    5   3   4
                68.53          2.29        1.3692  -10   2   4
                69.75          3.22        1.3483   15   1   0
                70.32          1.18        1.3387  -11   3   1
                70.54          1.14        1.3351    6   4   0
                70.67          2.46        1.3329   11   3   1
                70.79          1.00        1.3311    4   4   2
                71.14          1.15        1.3253   -1   3   5
                71.59          1.09        1.3181    8   2   5
                72.16          1.12        1.3091    7   1   6
                72.30          3.00        1.3068    0   4   3
                72.73          1.12        1.3002  -11   3   2
                73.27          1.18        1.2919    2   0   7
                73.35          1.16        1.2907  -16   0   1
                73.78          1.15        1.2843   -6   4   2
                75.01          1.44        1.2663   13   1   4
                77.63          1.21        1.2299   10   2   5
                78.09          2.22        1.2238   15   1   3
                81.61          1.91        1.1797    2   2   7
                81.62          1.61        1.1796  -10   4   1
                81.69          1.07        1.1787  -16   2   1
                82.14          1.84        1.1735  -11   1   6
                84.54          1.65        1.1461   10   4   2
                85.84          1.61        1.1321   -6   2   7
                86.43          1.35        1.1258   15   3   0
                87.77          1.24        1.1121  -16   2   3
                88.37          2.30        1.1061    5   5   1
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
