      Krupkaite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R100098
      Topa D, Makovicky E, Balic-Zunic T
      The Canadian Mineralogist 40 (2002) 1147-1159
      The structural role of excess Cu and Pb in gladite and krupkaite
      based on new refinements of their structure
      Sample: bd50
      _database_code_amcsd 0005783

      CELL PARAMETERS:   4.0190 11.2360 11.5700   90.000   90.000   90.000
      SPACE GROUP: Pmc2_1    

                71.64          1.79        1.3172    1   8   1
                72.47          1.22        1.3043    2   3   6
                72.98          2.44        1.2964    3   1   2
                73.07          3.36        1.2949    3   2   1
                74.25          2.37        1.2772    0   1   9
                74.47          1.58        1.2741    1   6   6
                74.66          3.88        1.2713    3   2   2
                75.17          4.47        1.2639    1   5   7
                75.20          1.47        1.2634    0   8   4
                75.87          1.81        1.2540    3   3   1
                76.38          1.61        1.2468    2   7   1
                76.79          1.47        1.2412    0   9   1
                77.02          1.88        1.2381    2   6   4
                77.28          1.27        1.2346    3   2   3
                77.95          1.85        1.2257    2   7   2
                78.02          2.75        1.2247    1   4   8
                78.72          1.79        1.2156    3   0   4
                79.27          1.94        1.2086    3   1   4
                79.29          4.06        1.2083    2   3   7
                79.74          1.80        1.2026    3   4   1
                80.57          1.54        1.1922    1   9   0
                81.09          1.16        1.1860    1   9   1
                81.24          1.17        1.1842    1   6   7
                81.28          1.62        1.1836    3   4   2
                81.34          1.12        1.1830    2   5   6
                82.52          1.31        1.1690    0   4   9
                82.65          1.12        1.1675    2   1   8
                82.95          1.51        1.1640    1   5   8
                82.97          1.34        1.1638    1   3   9
                83.11          2.15        1.1621    2   4   7
                83.85          3.29        1.1538    3   4   3
                84.13          1.30        1.1507    3   5   0
                85.52          1.04        1.1355    3   2   5
                86.13          1.45        1.1291    2   8   2
                86.76          1.44        1.1224    1   4   9
                87.30          2.21        1.1168    2   6   6
                87.79          2.43        1.1118    1   0  10
                88.22          1.49        1.1075    3   3   5
                88.97          1.26        1.1002    3   0   6
                89.12          1.19        1.0987    0   9   5
                89.76          2.18        1.0925    1   8   6
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
