angle,intensity
5.0,14.0
5.01,19.0
5.02,18.0
5.03,14.0
5.04,17.0
5.05,15.0
5.06,20.0
5.07,19.0
5.08,14.0
5.09,13.0
5.1,14.0
5.11,13.0
5.12,10.0
5.13,15.0
5.14,18.0
5.15,19.0
5.16,17.0
5.17,24.0
5.18,20.0
5.19,12.0
5.2,13.0
5.21,21.0
5.22,14.0
5.23,16.0
5.24,22.0
5.25,14.0
5.26,15.0
5.27,9.0
5.28,27.0
5.29,19.0
5.3,21.0
5.31,15.0
5.32,17.0
5.33,7.0
5.34,13.0
5.35,19.0
5.36,19.0
5.37,20.0
5.38,19.0
5.39,20.0
5.4,13.0
5.41,18.0
5.42,24.0
5.43,15.0
5.44,20.0
5.45,9.0
5.46,13.0
5.47,11.0
5.48,15.0
5.49,16.0
5.5,14.0
5.51,15.0
5.52,15.0
5.53,16.0
5.54,12.0
5.55,16.0
5.56,19.0
5.57,21.0
5.58,20.0
5.59,14.0
5.6,18.0
5.61,15.0
5.62,16.0
5.63,23.0
5.64,22.0
5.65,19.0
5.66,22.0
5.67,19.0
5.68,21.0
5.69,19.0
5.7,16.0
5.71,26.0
5.72,27.0
5.73,12.0
5.74,19.0
5.75,14.0
5.76,25.0
5.77,26.0
5.78,23.0
5.79,23.0
5.8,23.0
5.81,18.0
5.82,17.0
5.83,21.0
5.84,24.0
5.85,19.0
5.86,31.0
5.87,28.0
5.88,25.0
5.89,20.0
5.9,27.0
5.91,17.0
5.92,29.0
5.93,22.0
5.94,37.0
5.95,21.0
5.96,28.0
5.97,24.0
5.98,29.0
5.99,17.0
6.0,30.0
6.01,28.0
6.02,35.0
6.03,29.0
6.04,29.0
6.05,35.0
6.06,36.0
6.07,36.0
6.08,34.0
6.09,30.0
6.1,31.0
6.11,31.0
6.12,30.0
6.13,39.0
6.14,32.0
6.15,32.0
6.16,27.0
6.17,37.0
6.18,32.0
6.19,33.0
6.2,45.0
6.21,39.0
6.22,33.0
6.23,35.0
6.24,43.0
6.25,25.0
6.26,36.0
6.27,30.0
6.28,36.0
6.29,40.0
6.3,36.0
6.31,34.0
6.32,35.0
6.33,38.0
6.34,29.0
6.35,37.0
6.36,38.0
6.37,35.0
6.38,36.0
6.39,36.0
6.4,30.0
6.41,47.0
6.42,40.0
6.43,36.0
6.44,29.0
6.45,42.0
6.46,24.0
6.47,33.0
6.48,29.0
6.49,35.0
6.5,28.0
6.51,45.0
6.52,35.0
6.53,42.0
6.54,32.0
6.55,27.0
6.56,34.0
6.57,32.0
6.58,33.0
