angle,intensity
5.0,31.0
5.01,26.0
5.02,22.0
5.03,24.0
5.04,29.0
5.05,27.0
5.06,24.0
5.07,34.0
5.08,23.0
5.09,23.0
5.1,27.0
5.11,25.0
5.12,25.0
5.13,26.0
5.14,38.0
5.15,21.0
5.16,32.0
5.17,33.0
5.18,23.0
5.19,30.0
5.2,30.0
5.21,23.0
5.22,30.0
5.23,23.0
5.24,36.0
5.25,23.0
5.26,25.0
5.27,31.0
5.28,28.0
5.29,15.0
5.3,27.0
5.31,17.0
5.32,29.0
5.33,25.0
5.34,31.0
5.35,33.0
5.36,41.0
5.37,26.0
5.38,21.0
5.39,14.0
5.4,19.0
5.41,24.0
5.42,31.0
5.43,30.0
5.44,27.0
5.45,25.0
5.46,17.0
5.47,38.0
5.48,23.0
5.49,28.0
5.5,23.0
5.51,35.0
5.52,28.0
5.53,23.0
5.54,23.0
5.55,20.0
5.56,25.0
5.57,24.0
5.58,26.0
5.59,26.0
5.6,32.0
5.61,26.0
5.62,28.0
5.63,23.0
5.64,27.0
5.65,32.0
5.66,16.0
5.67,23.0
5.68,20.0
5.69,24.0
5.7,21.0
5.71,26.0
5.72,24.0
5.73,16.0
5.74,24.0
5.75,30.0
5.76,26.0
5.77,31.0
5.78,24.0
5.79,28.0
5.8,23.0
5.81,34.0
5.82,27.0
5.83,29.0
5.84,18.0
5.85,18.0
5.86,22.0
5.87,26.0
5.88,23.0
5.89,19.0
5.9,26.0
5.91,22.0
5.92,22.0
5.93,27.0
5.94,22.0
5.95,18.0
5.96,28.0
5.97,20.0
5.98,24.0
5.99,25.0
6.0,21.0
6.01,31.0
6.02,28.0
6.03,22.0
6.04,26.0
6.05,29.0
6.06,18.0
6.07,33.0
6.08,28.0
6.09,17.0
6.1,26.0
6.11,21.0
6.12,29.0
6.13,21.0
6.14,22.0
6.15,15.0
6.16,24.0
6.17,22.0
6.18,14.0
6.19,27.0
6.2,33.0
6.21,25.0
6.22,25.0
6.23,20.0
6.24,34.0
6.25,28.0
6.26,24.0
6.27,27.0
6.28,24.0
6.29,24.0
6.3,23.0
6.31,25.0
6.32,21.0
6.33,25.0
6.34,21.0
6.35,26.0
6.36,33.0
6.37,25.0
6.38,31.0
6.39,16.0
6.4,27.0
6.41,22.0
6.42,20.0
6.43,26.0
6.44,22.0
6.45,22.0
6.46,27.0
6.47,18.0
6.48,23.0
6.49,19.0
6.5,36.0
6.51,26.0
6.52,26.0
6.53,15.0
6.54,22.0
6.55,22.0
6.56,26.0
6.57,27.0
6.58,33.0
6.59,26.0
6.6,25.0
6.61,31.0
6.62,19.0
6.63,24.0
6.64,25.0
6.65,29.0
6.66,24.0
6.67,23.0
6.68,17.0
6.69,24.0
6.7,21.0
6.71,19.0
6.72,32.0
6.73,23.0
6.74,24.0
6.75,22.0
6.76,22.0
6.77,16.0
6.78,21.0
6.79,23.0
6.8,14.0
6.81,16.0
6.82,19.0
6.83,22.0
6.84,19.0
6.85,7.0
6.86,22.0
6.87,19.0
6.88,19.0
6.89,30.0
6.9,21.0
6.91,20.0
6.92,16.0
6.93,15.0
6.94,13.0
6.95,16.0
6.96,15.0
6.97,12.0
6.98,16.0
6.99,17.0
7.0,21.0
7.01,23.0
7.02,15.0
7.03,25.0
7.04,17.0
7.05,20.0
7.06,23.0
7.07,22.0
7.08,17.0
7.09,18.0
7.1,11.0
7.11,22.0
7.12,18.0
7.13,18.0
7.14,17.0
7.15,25.0
7.16,17.0
7.17,19.0
7.18,21.0
7.19,23.0
7.2,18.0
7.21,16.0
7.22,18.0
7.23,10.0
7.24,27.0
7.25,18.0
7.26,23.0
7.27,17.0
7.28,18.0
7.29,11.0
7.3,27.0
7.31,17.0
7.32,22.0
7.33,16.0
7.34,20.0
7.35,16.0
7.36,16.0
7.37,18.0
7.38,19.0
7.39,20.0
7.4,16.0
7.41,11.0
7.42,16.0
7.43,18.0
7.44,22.0
7.45,14.0
7.46,15.0
7.47,26.0
7.48,18.0
7.49,17.0
7.5,19.0
7.51,18.0
7.52,18.0
7.53,20.0
7.54,14.0
7.55,23.0
7.56,6.0
7.57,15.0
7.58,22.0
7.59,11.0
7.6,12.0
7.61,19.0
7.62,21.0
7.63,19.0
7.64,17.0
7.65,14.0
7.66,16.0
7.67,22.0
7.68,12.0
7.69,18.0
7.7,10.0
7.71,11.0
7.72,16.0
7.73,14.0
7.74,17.0
7.75,20.0
7.76,13.0
7.77,10.0
7.78,18.0
7.79,15.0
7.8,13.0
7.81,15.0
7.82,18.0
7.83,18.0
7.84,14.0
7.85,13.0
7.86,17.0
7.87,14.0
7.88,12.0
7.89,15.0
7.9,21.0
7.91,15.0
7.92,17.0
7.93,14.0
7.94,13.0
7.95,8.0
7.96,9.0
7.97,14.0
7.98,24.0
7.99,12.0
8.0,19.0
8.01,17.0
8.02,10.0
8.03,18.0
8.04,17.0
8.05,16.0
8.06,22.0
8.07,10.0
8.08,13.0
8.09,22.0
8.1,13.0
8.11,13.0
8.12,13.0
8.13,9.0
8.14,14.0
8.15,18.0
8.16,11.0
8.17,18.0
8.18,10.0
8.19,11.0
8.2,14.0
8.21,8.0
8.22,12.0
8.23,12.0
8.24,17.0
8.25,11.0
8.26,12.0
8.27,14.0
8.28,18.0
8.29,19.0
8.3,16.0
8.31,20.0
8.32,19.0
8.33,19.0
8.34,12.0
8.35,13.0
8.36,19.0
8.37,15.0
8.38,19.0
8.39,11.0
8.4,10.0
8.41,11.0
8.42,15.0
8.43,13.0
8.44,12.0
8.45,15.0
8.46,16.0
8.47,11.0
8.48,15.0
8.49,17.0
8.5,19.0
8.51,12.0
8.52,9.0
8.53,11.0
8.54,9.0
8.55,17.0
8.56,15.0
8.57,18.0
8.58,7.0
8.59,11.0
8.6,19.0
8.61,10.0
8.62,12.0
8.63,10.0
8.64,16.0
8.65,5.0
8.66,13.0
8.67,17.0
8.68,14.0
8.69,15.0
8.7,10.0
8.71,17.0
8.72,17.0
8.73,20.0
8.74,19.0
8.75,8.0
8.76,16.0
8.77,16.0
8.78,14.0
8.79,18.0
8.8,15.0
8.81,10.0
8.82,20.0
8.83,11.0
8.84,14.0
8.85,18.0
8.86,14.0
8.87,17.0
8.88,13.0
8.89,16.0
8.9,10.0
8.91,13.0
8.92,14.0
8.93,15.0
8.94,5.0
8.95,20.0
8.96,21.0
8.97,10.0
8.98,14.0
8.99,15.0
9.0,13.0
9.01,12.0
9.02,11.0
9.03,13.0
9.04,10.0
9.05,11.0
9.06,12.0
9.07,10.0
9.08,18.0
9.09,12.0
9.1,11.0
9.11,14.0
9.12,9.0
9.13,18.0
9.14,19.0
9.15,13.0
9.16,10.0
9.17,19.0
9.18,13.0
9.19,14.0
9.2,13.0
9.21,14.0
9.22,10.0
9.23,18.0
9.24,15.0
9.25,13.0
9.26,12.0
9.27,15.0
9.28,16.0
9.29,18.0
9.3,14.0
9.31,14.0
9.32,19.0
9.33,8.0
9.34,11.0
9.35,14.0
9.36,17.0
9.37,10.0
9.38,18.0
9.39,15.0
9.4,9.0
9.41,15.0
9.42,15.0
9.43,20.0
9.44,8.0
9.45,17.0
9.46,16.0
9.47,11.0
9.48,20.0
9.49,19.0
9.5,16.0
9.51,9.0
9.52,11.0
9.53,18.0
9.54,17.0
9.55,8.0
9.56,21.0
9.57,17.0
9.58,9.0
9.59,14.0
9.6,9.0
9.61,14.0
9.62,13.0
9.63,20.0
9.64,16.0
9.65,18.0
9.66,11.0
9.67,11.0
9.68,12.0
9.69,10.0
9.7,14.0
9.71,7.0
9.72,6.0
9.73,14.0
9.74,23.0
9.75,13.0
9.76,14.0
9.77,18.0
9.78,18.0
9.79,18.0
9.8,14.0
9.81,13.0
9.82,18.0
9.83,21.0
9.84,12.0
9.85,9.0
9.86,11.0
9.87,7.0
9.88,21.0
9.89,9.0
9.9,14.0
9.91,15.0
9.92,12.0
9.93,18.0
9.94,9.0
9.95,10.0
9.96,9.0
9.97,17.0
9.98,8.0
9.99,10.0
10.0,13.0
10.01,17.0
10.02,12.0
10.03,11.0
10.04,7.0
10.05,14.0
10.06,16.0
10.07,14.0
10.08,21.0
10.09,8.0
10.1,11.0
10.11,8.0
10.12,8.0
10.13,12.0
10.14,12.0
10.15,14.0
10.16,13.0
10.17,9.0
10.18,12.0
10.19,15.0
10.2,16.0
10.21,12.0
10.22,16.0
10.23,16.0
10.24,15.0
10.25,16.0
10.26,16.0
10.27,11.0
10.28,11.0
10.29,10.0
10.3,8.0
10.31,11.0
10.32,7.0
10.33,7.0
10.34,11.0
10.35,8.0
10.36,13.0
10.37,16.0
10.38,11.0
10.39,7.0
10.4,10.0
10.41,15.0
10.42,12.0
10.43,18.0
10.44,11.0
10.45,11.0
10.46,17.0
10.47,13.0
10.48,13.0
10.49,11.0
10.5,11.0
10.51,16.0
10.52,13.0
10.53,17.0
10.54,14.0
10.55,22.0
10.56,15.0
10.57,11.0
