      Rajite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R060729
      Hanke K, Kupcik V, Lindqvist O
      Acta Crystallographica B29 (1973) 963-970
      The crystal structure of CuTe2O5
      Locality: synthetic

      CELL PARAMETERS:   6.8680  9.3290  7.6000   90.000  109.090   90.000
      SPACE GROUP: P2_1/c    

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Cu     0.34117   0.48715   0.29408     1.000     0.637
            Te     0.13182   0.19969   0.08684     1.000     0.595
            Te     0.65120   0.32349   0.05685     1.000     0.585
            O      0.50150   0.10560   0.32320     1.000     0.835
            O      0.89560   0.18180   0.46490     1.000     0.883
            O      0.31850   0.34830   0.09310     1.000     0.829
            O      0.13270   0.37220   0.35600     1.000     0.975
            O      0.61500   0.37260   0.50670     1.000     0.946

            BOUNDS ON TWO THETA:    0.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  5 +/-  8 +/-  6
            MAX. ABS. INTENSITY / VOLUME**2:      49.59818488    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                75.07          2.77        1.2654   -2   0   6
                75.26          2.63        1.2626    3   6   0
                75.77          2.52        1.2554   -5   1   4
                75.87          1.85        1.2539   -2   1   6
                75.98          2.26        1.2525   -1   0   6
                76.20          2.33        1.2494    0   7   2
                76.32          2.09        1.2478    2   6   2
                76.59          2.47        1.2441   -5   3   1
                77.13          1.19        1.2366    1   6   3
                77.41          1.89        1.2328    2   7   0
                77.62          1.95        1.2301   -5   3   3
                78.28          2.48        1.2213   -3   1   6
                78.47          1.55        1.2188   -4   5   3
                78.63          1.77        1.2167   -3   6   3
                78.90          2.41        1.2132   -2   7   2
                79.08          3.67        1.2109    1   3   5
                79.45          2.92        1.2063   -4   3   5
                80.19          1.32        1.1970    0   0   6
                80.21          3.80        1.1967    3   4   3
                82.16          2.32        1.1732   -5   4   1
                82.33          2.44        1.1712    5   2   1
                83.35          1.96        1.1594    0   2   6
                83.65          1.21        1.1560   -2   7   3
                84.10          1.06        1.1511    0   8   1
                84.37          1.31        1.1480   -4   6   2
                85.49          3.28        1.1359   -3   5   5
                86.26          1.17        1.1276    5   3   1
                86.29          1.63        1.1273   -4   2   6
                86.62          1.03        1.1239    2   7   2
                86.74          2.76        1.1226    4   6   0
                87.30          2.42        1.1169    3   5   3
                87.65          1.11        1.1133   -5   4   4
                88.07          2.32        1.1091    0   8   2
                88.66          1.45        1.1032   -2   8   1
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
