      Wherryite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R110089
      Cooper M A, Hawthorne F C
      The Canadian Mineralogist 32 (1994) 373-380
      The crystal structure of wherryite, Pb7Cu2(SO4)4(SiO4)2(OH)2, a mixed
      sulfate-silicate with [M(TO4)2] chains
      _database_code_amcsd 0005365

      CELL PARAMETERS:  20.8190  5.8020  9.1610   90.000   91.250   90.000
      SPACE GROUP: C2/m      

                64.21          5.54        1.4505    0   4   0
                64.23          2.22        1.4502   -3   1   6
                64.85          2.08        1.4377    3   1   6
                65.29          2.20        1.4290  -11   1   4
                65.55          1.03        1.4241   -6   2   5
                66.79          1.65        1.4007   -5   1   6
                66.90          1.30        1.3986   -5   3   4
                67.58          2.56        1.3862    5   3   4
                68.37          2.31        1.3720  -10   2   4
                69.67          3.22        1.3495   15   1   0
                70.18          1.18        1.3410  -11   3   1
                70.35          1.15        1.3382    6   4   0
                70.55          2.47        1.3350   11   3   1
                70.59          1.01        1.3342    4   4   2
                70.94          1.16        1.3286   -1   3   5
                71.46          1.10        1.3202    8   2   5
                72.02          1.13        1.3113    7   1   6
                72.09          3.03        1.3101    0   4   3
                72.57          1.12        1.3027  -11   3   2
                73.09          1.19        1.2947    2   0   7
                73.27          1.16        1.2919  -16   0   1
                73.57          1.16        1.2874   -6   4   2
                74.92          1.44        1.2675   13   1   4
                77.49          1.21        1.2317   10   2   5
                78.02          2.22        1.2248   15   1   3
                81.39          1.92        1.1823    2   2   7
                81.42          1.62        1.1820  -10   4   1
                81.57          1.07        1.1802  -16   2   1
                81.92          1.85        1.1760  -11   1   6
                84.34          1.65        1.1483   10   4   2
                85.58          1.62        1.1349   -6   2   7
                86.28          1.35        1.1274   15   3   0
                87.60          1.25        1.1138  -16   2   3
                88.10          2.31        1.1088    5   5   1
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
