angle,intensity
5.0,27.0
5.01,29.0
5.02,22.0
5.03,32.0
5.04,29.0
5.05,23.0
5.06,24.0
5.07,21.0
5.08,30.0
5.09,15.0
5.1,27.0
5.11,28.0
5.12,31.0
5.13,27.0
5.14,22.0
5.15,27.0
5.16,33.0
5.17,34.0
5.18,27.0
5.19,19.0
5.2,29.0
5.21,39.0
5.22,28.0
5.23,29.0
5.24,31.0
5.25,34.0
5.26,29.0
5.27,27.0
5.28,28.0
5.29,24.0
5.3,34.0
5.31,26.0
5.32,23.0
5.33,28.0
5.34,39.0
5.35,36.0
5.36,30.0
5.37,25.0
5.38,37.0
5.39,36.0
5.4,23.0
5.41,24.0
5.42,36.0
5.43,35.0
5.44,32.0
5.45,37.0
5.46,33.0
5.47,35.0
5.48,29.0
5.49,33.0
5.5,35.0
5.51,30.0
5.52,31.0
5.53,38.0
5.54,27.0
5.55,29.0
5.56,34.0
5.57,34.0
5.58,37.0
5.59,27.0
5.6,22.0
5.61,30.0
5.62,33.0
5.63,27.0
5.64,29.0
5.65,32.0
5.66,26.0
5.67,25.0
5.68,30.0
5.69,38.0
5.7,28.0
5.71,35.0
5.72,33.0
5.73,25.0
5.74,31.0
5.75,21.0
5.76,30.0
5.77,24.0
5.78,31.0
5.79,25.0
5.8,21.0
5.81,27.0
5.82,29.0
5.83,27.0
5.84,21.0
5.85,29.0
5.86,17.0
5.87,29.0
5.88,21.0
5.89,25.0
5.9,21.0
5.91,21.0
5.92,20.0
5.93,17.0
5.94,24.0
5.95,24.0
5.96,16.0
5.97,16.0
5.98,22.0
5.99,20.0
6.0,13.0
6.01,20.0
6.02,14.0
6.03,17.0
6.04,22.0
6.05,12.0
6.06,17.0
6.07,20.0
6.08,16.0
6.09,16.0
6.1,16.0
6.11,15.0
6.12,15.0
6.13,16.0
6.14,23.0
6.15,11.0
6.16,19.0
6.17,11.0
6.18,20.0
6.19,21.0
6.2,24.0
6.21,23.0
6.22,16.0
6.23,16.0
6.24,13.0
6.25,14.0
6.26,15.0
6.27,16.0
6.28,19.0
6.29,19.0
6.3,16.0
6.31,15.0
6.32,13.0
6.33,16.0
6.34,15.0
6.35,11.0
6.36,16.0
6.37,21.0
6.38,19.0
6.39,16.0
6.4,14.0
6.41,18.0
6.42,16.0
6.43,16.0
6.44,15.0
6.45,9.0
6.46,19.0
6.47,22.0
6.48,16.0
6.49,24.0
6.5,12.0
6.51,13.0
6.52,17.0
6.53,14.0
6.54,22.0
6.55,19.0
6.56,22.0
6.57,18.0
6.58,14.0
6.59,19.0
6.6,17.0
6.61,13.0
6.62,13.0
6.63,18.0
6.64,19.0
6.65,16.0
6.66,19.0
6.67,19.0
6.68,23.0
6.69,20.0
6.7,17.0
6.71,16.0
6.72,16.0
6.73,19.0
6.74,11.0
6.75,13.0
6.76,18.0
6.77,22.0
6.78,17.0
6.79,15.0
6.8,20.0
6.81,8.0
6.82,22.0
6.83,16.0
6.84,10.0
6.85,20.0
6.86,20.0
6.87,17.0
6.88,18.0
6.89,15.0
6.9,16.0
6.91,20.0
6.92,17.0
6.93,19.0
6.94,18.0
6.95,19.0
6.96,13.0
6.97,11.0
6.98,17.0
6.99,19.0
7.0,8.0
7.01,14.0
7.02,9.0
7.03,17.0
7.04,20.0
7.05,14.0
7.06,15.0
7.07,14.0
7.08,12.0
7.09,16.0
7.1,22.0
7.11,18.0
7.12,18.0
7.13,13.0
7.14,14.0
7.15,14.0
7.16,29.0
7.17,12.0
7.18,14.0
7.19,12.0
7.2,19.0
7.21,18.0
7.22,15.0
7.23,17.0
7.24,18.0
7.25,19.0
7.26,19.0
7.27,20.0
7.28,14.0
7.29,14.0
7.3,16.0
7.31,16.0
7.32,19.0
7.33,21.0
7.34,11.0
7.35,10.0
7.36,14.0
7.37,10.0
7.38,18.0
7.39,17.0
7.4,14.0
7.41,16.0
7.42,10.0
7.43,13.0
7.44,12.0
7.45,11.0
7.46,17.0
7.47,14.0
7.48,15.0
7.49,16.0
7.5,10.0
7.51,14.0
7.52,17.0
7.53,16.0
7.54,16.0
7.55,13.0
7.56,12.0
7.57,14.0
7.58,10.0
7.59,8.0
7.6,17.0
7.61,13.0
7.62,13.0
7.63,19.0
7.64,18.0
7.65,15.0
7.66,20.0
7.67,15.0
7.68,14.0
7.69,17.0
7.7,11.0
7.71,16.0
7.72,12.0
7.73,13.0
7.74,14.0
7.75,17.0
7.76,20.0
7.77,8.0
7.78,14.0
7.79,14.0
7.8,12.0
7.81,14.0
7.82,17.0
7.83,18.0
7.84,10.0
7.85,14.0
7.86,16.0
7.87,15.0
7.88,8.0
7.89,10.0
7.9,15.0
7.91,16.0
7.92,17.0
7.93,6.0
7.94,8.0
7.95,6.0
7.96,18.0
7.97,6.0
7.98,9.0
7.99,11.0
8.0,14.0
8.01,14.0
8.02,15.0
8.03,11.0
8.04,15.0
8.05,13.0
8.06,13.0
8.07,18.0
8.08,18.0
8.09,15.0
8.1,17.0
8.11,16.0
8.12,9.0
8.13,13.0
8.14,23.0
8.15,14.0
8.16,11.0
8.17,12.0
8.18,13.0
8.19,8.0
8.2,15.0
8.21,9.0
8.22,6.0
8.23,12.0
8.24,15.0
8.25,8.0
8.26,16.0
8.27,15.0
8.28,7.0
8.29,15.0
8.3,8.0
8.31,12.0
8.32,23.0
8.33,13.0
8.34,7.0
8.35,14.0
8.36,17.0
8.37,9.0
8.38,15.0
8.39,10.0
8.4,7.0
8.41,15.0
8.42,14.0
8.43,9.0
8.44,16.0
8.45,19.0
8.46,14.0
8.47,15.0
8.48,10.0
8.49,19.0
8.5,10.0
8.51,10.0
8.52,9.0
8.53,14.0
8.54,16.0
8.55,12.0
8.56,18.0
8.57,13.0
8.58,8.0
8.59,16.0
8.6,9.0
8.61,13.0
8.62,18.0
8.63,18.0
8.64,13.0
8.65,13.0
8.66,9.0
8.67,8.0
8.68,16.0
8.69,12.0
8.7,11.0
8.71,12.0
8.72,13.0
8.73,13.0
8.74,9.0
8.75,17.0
8.76,17.0
8.77,14.0
8.78,11.0
8.79,14.0
8.8,11.0
8.81,8.0
8.82,14.0
8.83,17.0
8.84,19.0
8.85,15.0
8.86,19.0
8.87,19.0
8.88,9.0
8.89,15.0
8.9,26.0
8.91,18.0
8.92,22.0
8.93,13.0
8.94,15.0
8.95,23.0
8.96,13.0
8.97,12.0
8.98,10.0
8.99,15.0
9.0,12.0
9.01,14.0
9.02,14.0
9.03,8.0
9.04,9.0
9.05,11.0
9.06,8.0
9.07,4.0
9.08,10.0
9.09,11.0
9.1,8.0
9.11,14.0
9.12,16.0
