      Vergasovaite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R061141
      Berlepsch P, Armbruster T, Brugger J, Bykova E Y, Kartashov P M
      European Journal of Mineralogy 11 (1999) 101-110
      The crystal structure of vergasovaite Cu3O[(Mo,S)O4SO4],
      and its relation to synthetic Cu3O[MoO4]2

      CELL PARAMETERS:   7.4200  6.8139 13.5030   90.000   90.000   90.000
      SPACE GROUP: Pnma      

                75.56          2.74        1.2584    1   4   7
                76.21          1.00        1.2493    4   4   1
                77.29          2.34        1.2344    1   3   9
                78.66          1.33        1.2164    6   0   2
                79.01          1.97        1.2119    6   1   1
                79.26          1.18        1.2086    4   4   3
                80.14          2.21        1.1976    5   3   3
                80.56          1.84        1.1924    1   1  11
                80.83          1.52        1.1891    2   2  10
                80.91          1.94        1.1882    3   3   8
                81.07          1.10        1.1862    2   3   9
                81.91          1.08        1.1761    4   4   4
                82.24          2.13        1.1722    4   2   8
                83.99          1.15        1.1522    4   3   7
                85.02          4.24        1.1409    2   4   8
                85.51          1.39        1.1357    0   6   0
                86.17          1.62        1.1286    5   3   5
                88.04          2.39        1.1094    6   1   5
                89.08          1.43        1.0991    6   2   4
                89.85          1.31        1.0917    4   0  10
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
