      Pseudowollastonite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070762 
      Yang H, Prewitt C T
      American Mineralogist 84 (1999) 929-932
      On the crystal structure of pseudowollastonite (CaSiO3)

      CELL PARAMETERS:   6.8340 11.8700 19.6190   90.000   90.550   90.000
      SPACE GROUP: C2/c      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
                66.10          2.13        1.4135    3   5   7
                66.24          1.40        1.4109    4   2   7
                66.39          5.68        1.4081   -4   0   8
                66.45         10.58        1.4070   -2   6   8
                66.79          9.39        1.4006    2   6   8
                66.84          1.15        1.3997   -2   4  11
                67.07          4.43        1.3955    4   0   8
                67.42          8.36        1.3891   -4   4   5
                67.49          3.56        1.3878    0   8   5
                69.47          1.23        1.3530   -4   4   6
                70.65          1.48        1.3332   -3   7   3
                70.73          1.19        1.3319   -5   1   3
                72.02          2.40        1.3113    0   8   7
                72.44          4.74        1.3047    4   4   7
                72.68          2.09        1.3009   -2   0  14
                72.80          4.42        1.2991   -1   3  14
                73.07          1.19        1.2950    1   9   0
                73.09          4.81        1.2947    1   3  14
                73.20          1.16        1.2930    4   6   0
                73.26          2.48        1.2921    2   0  14
                73.28          1.22        1.2918    5   3   0
                73.87          1.80        1.2829    3   7   5
                74.11          1.82        1.2793    5   1   5
                74.79          1.58        1.2695    0   8   8
                75.97          5.85        1.2526   -1   9   4
                75.97          5.72        1.2525   -4   6   4
                76.01          5.67        1.2520   -5   3   4
                76.05          5.81        1.2515    1   9   4
                76.30          6.34        1.2481    4   6   4
                76.41          6.12        1.2464    5   3   4
                77.66          2.70        1.2295   -4   4   9
                77.88          1.07        1.2266    0   8   9
                77.89          1.76        1.2265   -3   7   7
                77.91         11.25        1.2261    0   0  16
                78.20          1.38        1.2224    2   8   7
                79.52          1.69        1.2054   -4   6   6
                79.53          1.83        1.2052   -5   3   6
                79.57          1.50        1.2047   -1   9   6
                79.69          1.41        1.2032    1   9   6
                79.99          1.14        1.1994    4   6   6
                80.13          1.06        1.1978    5   3   6
                81.01          2.27        1.1869   -4   0  12
                81.15          4.74        1.1852   -2   6  12
                81.18          1.27        1.1848    0  10   1
                81.44          1.92        1.1817    5   5   1
                81.62          5.08        1.1795    2   6  12
                81.96          2.60        1.1755    4   0  12
                83.64          1.65        1.1561   -1   3  16
                83.96          1.60        1.1526    1   3  16
                84.10          1.10        1.1510    3   7   9
                84.44          2.74        1.1472   -5   3   8
                84.44          2.84        1.1472   -4   6   8
                84.55          2.41        1.1460   -1   9   8
                84.71          2.77        1.1443    1   9   8
                84.97          3.52        1.1414    3   9   0
                85.04          1.16        1.1406    0   8  11
                85.07          2.23        1.1403    4   6   8
                85.20          1.78        1.1389    6   0   0
                85.22          2.53        1.1387    5   3   8
                85.61          2.86        1.1346    4   4  11
                87.69          5.71        1.1129   -3   9   4
                87.80          3.07        1.1118   -6   0   4
                87.93          5.09        1.1105    3   9   4
                88.27          2.43        1.1071    6   0   4
                89.12          1.13        1.0987    0   8  12
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
