      Papagoite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R040182
      Groat L A, Hawthorne F C
      Mineralogy and Petrology 37 (1987) 89-96
      Refinement of the structure of papagoite, CaCuAlSi2O6(OH)3
      Locality: Ajo, Pima County, Arizona, USA
      Note: U(1,1)(O3) changed from .0068 to match reported Uiso

      CELL PARAMETERS:  12.9202 11.4900  4.6956   90.000  100.742   90.000
      SPACE GROUP: C2/m      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
                79.43          2.95        1.2065    8   0   2
                79.78          1.88        1.2021    9   5   0
                80.14          2.90        1.1976   -3   9   1
                80.90          2.19        1.1883    6   8   0
                82.48          1.93        1.1694   10   0   1
                83.09          3.70        1.1624   -1   1   4
                83.21          3.35        1.1611   10   4   0
                83.89          1.36        1.1533    0   0   4
                84.54          2.57        1.1461   -9   1   3
                85.42          3.27        1.1366   -7   7   2
                85.68          1.73        1.1338    5   7   2
                86.57          1.25        1.1244    1   1   4
                86.92          3.71        1.1208  -11   3   1
                87.15          3.53        1.1184   -3   3   4
                88.49          1.62        1.1049   11   3   0
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
