      Lomonosovite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070465
      Belov N V, Gavrilova G S, Solov'eva L P, Khalilov A D
      Soviet Physics Doklady 22 (1977) 422-424
      The refined structure of lomonosovite

      CELL PARAMETERS:   5.3563  7.0810 14.4540  100.585   96.043   90.065
      SPACE GROUP: P-1       

                53.69          5.61        1.7071    0  -2   8
                54.47          5.30        1.6845    0  -3   7
                54.75          4.39        1.6767    2   0   6
                54.93          3.15        1.6716   -1  -2   8
                55.46          2.01        1.6569    3  -1   2
                55.54          1.68        1.6545   -3   1   3
                56.79          3.15        1.6212    0  -4   5
                56.81          9.43        1.6205    0   2   7
                56.84          4.97        1.6198   -2  -2   7
                57.37          2.27        1.6060    2   3   2
                57.67          1.62        1.5985   -2   1   7
                57.81          2.74        1.5948   -3   2   0
                57.87          5.00        1.5935   -1   2   7
                57.93          7.59        1.5919   -3  -2   2
                58.01          2.44        1.5898   -3  -2   1
                58.13          8.84        1.5868   -3   2   1
                58.28          7.47        1.5832    1  -2   8
                58.30          1.95        1.5827    3  -2   1
                58.65          1.31        1.5741   -3  -2   3
                58.77          2.07        1.5712   -3  -1   5
                58.84          2.96        1.5696    0   0   9
                58.90          1.90        1.5680    3   2   0
                59.19          1.50        1.5609   -2   2   6
                59.25          3.10        1.5596   -3   2   2
                59.58          1.13        1.5518    3  -2   2
                59.64          3.15        1.5502   -2   0   8
                59.66          1.27        1.5498    0  -3   8
                59.84          1.53        1.5456    2  -1   7
                59.99          5.33        1.5420    0  -4   6
                60.15          1.30        1.5383   -3  -2   4
                60.87          2.22        1.5219    3   0   4
                60.90          1.17        1.5212   -1  -3   8
                61.13          1.71        1.5159   -3   2   3
                61.38          8.14        1.5105    1   2   7
                61.62          1.31        1.5052    3  -2   3
                61.75          3.29        1.5023   -2  -2   8
                61.76          2.04        1.5021   -1  -4   6
                62.12          1.38        1.4942   -3  -1   6
                62.41          1.35        1.4880   -3  -2   5
                62.43          3.11        1.4875    2  -2   7
                62.48          1.45        1.4865    1  -1   9
                62.90          5.23        1.4775    2  -4   1
                62.97          1.93        1.4760   -2  -4   2
                63.23          1.90        1.4706   -2   4   0
                63.34          3.67        1.4684    2  -4   2
                63.41          3.34        1.4669   -2  -4   1
                63.69          1.12        1.4611    1  -4   6
                63.75          1.57        1.4599   -3   2   4
                63.87          5.47        1.4575    0   4   4
                64.06          2.23        1.4536   -2   3   5
                64.37          1.32        1.4473   -2   2   7
                64.38          2.07        1.4471    3  -2   4
                64.60          2.77        1.4427    2   4   0
                65.16          3.09        1.4316    2   2   6
                65.32          1.51        1.4285   -1   4   4
                65.47          1.71        1.4256   -1  -1  10
                65.74          2.19        1.4205   -2   0   9
                66.07          2.65        1.4141    3   2   3
                66.22          1.56        1.4114   -2  -4   5
                66.65          1.78        1.4032   -1   0  10
                67.12          1.54        1.3946   -3  -3   4
                67.27          1.86        1.3918    0   5   0
                67.44          2.37        1.3888   -2  -3   8
                67.83          1.24        1.3817    1   2   8
                67.94          2.56        1.3797    2  -2   8
                68.04          1.33        1.3780    2  -3   7
                68.57          1.07        1.3686   -1  -5   2
                68.58          1.29        1.3685    1  -5   2
                68.69          3.12        1.3665   -2   4   3
                68.99          1.02        1.3612   -3  -2   7
                69.58          2.47        1.3511    1  -3   9
                69.68          1.03        1.3495    3   0   6
                70.06          1.40        1.3431   -2   2   8
                70.31          3.86        1.3390   -4   0   1
                70.57          1.87        1.3346   -4   0   2
                70.82          2.31        1.3305    1   0  10
                70.92          1.61        1.3288    2   2   7
                71.00          2.19        1.3276   -3   2   6
                71.22          2.48        1.3240   -2  -1  10
                71.55          2.63        1.3187   -4   0   3
                71.90          1.43        1.3131   -2   4   4
                71.95          3.07        1.3124    4   0   1
                72.39          2.26        1.3054    2  -4   6
                73.24          1.84        1.2924   -4   0   4
                73.87          1.47        1.2829   -1  -5   6
                73.95          1.57        1.2817    2  -2   9
                74.71          1.31        1.2706    1   2   9
                75.76          1.06        1.2555   -2   4   5
                76.41          3.01        1.2464    2   4   4
                76.59          1.24        1.2439   -3   0   9
                78.06          1.04        1.2242    1   5   3
                78.15          1.43        1.2230    2   5   0
                79.02          2.45        1.2117    0  -4  10
                79.64          1.52        1.2038    4   0   4
                80.99          1.68        1.1872    2   4   5
                82.39          1.06        1.1705   -4   0   7
                83.32          1.20        1.1598    0   6   0
                85.28          1.29        1.1380    0  -3  12
                85.36          2.07        1.1372    1  -6   4
                85.36          1.27        1.1372   -2   4   7
                86.75          1.36        1.1225   -4   0   8
                86.95          2.41        1.1204   -1   6   1
                87.21          1.02        1.1178    3   0   9
                88.08          1.76        1.1090    4   0   6
                88.27          2.19        1.1071    1   6   1
                89.90          1.42        1.0912   -4   1   8
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
