angle,intensity
5.0,11.0
5.01,27.0
5.02,22.0
5.03,25.0
5.04,15.0
5.05,14.0
5.06,20.0
5.07,18.0
5.08,26.0
5.09,20.0
5.1,17.0
5.11,16.0
5.12,22.0
5.13,23.0
5.14,13.0
5.15,28.0
5.16,21.0
5.17,24.0
5.18,18.0
5.19,29.0
5.2,17.0
5.21,16.0
5.22,17.0
5.23,18.0
5.24,17.0
5.25,17.0
5.26,24.0
5.27,19.0
5.28,20.0
5.29,16.0
5.3,21.0
5.31,20.0
5.32,19.0
5.33,22.0
5.34,17.0
5.35,20.0
5.36,20.0
5.37,20.0
5.38,19.0
5.39,10.0
5.4,20.0
5.41,20.0
5.42,17.0
5.43,25.0
5.44,20.0
5.45,23.0
5.46,24.0
5.47,28.0
5.48,24.0
5.49,20.0
5.5,23.0
5.51,16.0
5.52,10.0
5.53,17.0
5.54,13.0
5.55,15.0
5.56,20.0
5.57,10.0
5.58,21.0
5.59,10.0
5.6,17.0
5.61,26.0
5.62,25.0
5.63,21.0
5.64,15.0
5.65,24.0
5.66,19.0
5.67,20.0
5.68,20.0
5.69,21.0
5.7,21.0
5.71,23.0
5.72,18.0
5.73,23.0
5.74,13.0
5.75,24.0
5.76,19.0
5.77,30.0
5.78,27.0
5.79,18.0
5.8,22.0
5.81,17.0
5.82,18.0
5.83,24.0
5.84,19.0
5.85,18.0
5.86,27.0
5.87,24.0
5.88,20.0
5.89,18.0
5.9,18.0
5.91,25.0
5.92,19.0
5.93,21.0
5.94,24.0
5.95,16.0
5.96,24.0
5.97,27.0
5.98,19.0
5.99,25.0
6.0,28.0
6.01,25.0
6.02,19.0
6.03,20.0
6.04,21.0
6.05,20.0
6.06,28.0
6.07,21.0
6.08,24.0
6.09,27.0
6.1,19.0
6.11,23.0
6.12,20.0
6.13,31.0
6.14,30.0
6.15,31.0
6.16,28.0
6.17,28.0
6.18,23.0
6.19,24.0
6.2,22.0
6.21,30.0
6.22,20.0
6.23,26.0
6.24,28.0
6.25,31.0
6.26,23.0
6.27,35.0
6.28,22.0
6.29,25.0
6.3,30.0
6.31,34.0
6.32,28.0
6.33,33.0
6.34,28.0
6.35,29.0
6.36,27.0
6.37,27.0
6.38,21.0
6.39,33.0
6.4,27.0
6.41,18.0
6.42,23.0
6.43,36.0
6.44,31.0
6.45,25.0
6.46,23.0
6.47,23.0
6.48,19.0
6.49,25.0
6.5,25.0
6.51,18.0
6.52,23.0
6.53,19.0
6.54,30.0
6.55,23.0
6.56,28.0
6.57,24.0
6.58,23.0
6.59,28.0
6.6,30.0
6.61,16.0
6.62,30.0
6.63,27.0
6.64,28.0
6.65,22.0
6.66,30.0
6.67,25.0
6.68,24.0
6.69,24.0
6.7,20.0
6.71,19.0
6.72,19.0
6.73,24.0
6.74,17.0
6.75,19.0
6.76,20.0
6.77,28.0
6.78,24.0
6.79,16.0
6.8,21.0
6.81,25.0
6.82,17.0
6.83,17.0
6.84,24.0
6.85,15.0
6.86,23.0
6.87,16.0
6.88,21.0
6.89,16.0
6.9,15.0
6.91,23.0
6.92,17.0
6.93,18.0
6.94,17.0
6.95,12.0
6.96,17.0
6.97,13.0
6.98,9.0
6.99,18.0
7.0,19.0
7.01,14.0
7.02,12.0
7.03,16.0
7.04,18.0
7.05,11.0
7.06,14.0
7.07,16.0
7.08,14.0
7.09,19.0
7.1,16.0
7.11,22.0
7.12,24.0
7.13,21.0
7.14,6.0
7.15,15.0
7.16,17.0
7.17,17.0
7.18,15.0
7.19,11.0
7.2,18.0
7.21,22.0
7.22,12.0
7.23,13.0
7.24,19.0
7.25,16.0
7.26,8.0
7.27,18.0
7.28,12.0
7.29,6.0
7.3,18.0
7.31,21.0
7.32,19.0
7.33,21.0
7.34,20.0
7.35,13.0
7.36,17.0
7.37,16.0
7.38,13.0
7.39,22.0
7.4,11.0
7.41,11.0
7.42,12.0
7.43,16.0
7.44,16.0
7.45,16.0
7.46,12.0
7.47,13.0
7.48,14.0
7.49,10.0
7.5,19.0
7.51,15.0
7.52,18.0
7.53,12.0
7.54,18.0
7.55,8.0
7.56,22.0
7.57,14.0
7.58,15.0
7.59,12.0
7.6,10.0
7.61,7.0
7.62,21.0
7.63,9.0
7.64,16.0
7.65,17.0
7.66,11.0
7.67,23.0
7.68,16.0
7.69,11.0
7.7,16.0
7.71,15.0
7.72,22.0
7.73,10.0
7.74,20.0
7.75,13.0
7.76,16.0
7.77,11.0
7.78,12.0
7.79,14.0
7.8,14.0
7.81,10.0
7.82,16.0
7.83,14.0
7.84,20.0
7.85,20.0
7.86,12.0
7.87,11.0
7.88,17.0
7.89,17.0
7.9,10.0
7.91,19.0
7.92,14.0
7.93,12.0
7.94,13.0
7.95,15.0
7.96,13.0
7.97,8.0
7.98,20.0
7.99,17.0
8.0,16.0
8.01,14.0
8.02,9.0
8.03,12.0
8.04,19.0
8.05,11.0
8.06,14.0
8.07,10.0
8.08,11.0
8.09,7.0
8.1,12.0
8.11,16.0
8.12,15.0
8.13,17.0
8.14,11.0
8.15,10.0
8.16,13.0
8.17,15.0
8.18,14.0
8.19,11.0
8.2,16.0
8.21,17.0
8.22,11.0
8.23,13.0
8.24,16.0
8.25,11.0
8.26,9.0
8.27,18.0
8.28,11.0
8.29,13.0
8.3,9.0
8.31,8.0
8.32,5.0
8.33,7.0
8.34,14.0
8.35,11.0
8.36,12.0
8.37,18.0
8.38,9.0
8.39,15.0
8.4,10.0
8.41,8.0
8.42,11.0
8.43,11.0
8.44,12.0
8.45,12.0
8.46,16.0
8.47,14.0
8.48,5.0
8.49,9.0
8.5,18.0
8.51,11.0
8.52,15.0
8.53,12.0
8.54,16.0
8.55,15.0
8.56,11.0
8.57,10.0
8.58,14.0
8.59,18.0
8.6,16.0
8.61,14.0
8.62,9.0
8.63,9.0
8.64,12.0
8.65,13.0
8.66,12.0
8.67,12.0
8.68,15.0
8.69,10.0
8.7,18.0
8.71,12.0
8.72,14.0
8.73,12.0
8.74,14.0
8.75,15.0
8.76,4.0
8.77,9.0
8.78,14.0
8.79,7.0
8.8,13.0
8.81,13.0
8.82,21.0
8.83,16.0
8.84,13.0
8.85,12.0
8.86,4.0
8.87,22.0
8.88,12.0
8.89,15.0
8.9,14.0
8.91,15.0
8.92,11.0
8.93,14.0
8.94,7.0
8.95,10.0
8.96,10.0
8.97,16.0
8.98,13.0
8.99,16.0
9.0,9.0
9.01,14.0
9.02,8.0
9.03,15.0
9.04,10.0
9.05,17.0
9.06,10.0
9.07,15.0
9.08,9.0
9.09,13.0
9.1,7.0
9.11,16.0
9.12,11.0
9.13,8.0
9.14,8.0
9.15,9.0
9.16,14.0
9.17,8.0
9.18,15.0
9.19,16.0
9.2,17.0
9.21,7.0
9.22,10.0
9.23,6.0
9.24,6.0
9.25,12.0
9.26,12.0
9.27,12.0
9.28,7.0
9.29,17.0
9.3,9.0
9.31,7.0
9.32,16.0
9.33,18.0
9.34,13.0
9.35,15.0
9.36,18.0
9.37,8.0
9.38,9.0
9.39,10.0
9.4,15.0
9.41,13.0
9.42,14.0
9.43,21.0
9.44,3.0
9.45,14.0
