      Leucophanite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R060199
      Grice J D, Hawthorne F C
      The Canadian Mineralogist 27 (1989) 193-197
      Refinement of the crystal structure of leucophanite

      CELL PARAMETERS:   7.3730  7.3960  9.9460   90.000   90.000   90.000
      SPACE GROUP: P2_12_12_1

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
                86.70          1.84        1.1231    5   4   2
                86.75          2.77        1.1225    2   2   8
                87.97          1.69        1.1101    0   3   8
                88.04          1.85        1.1094    3   0   8
                88.54          1.49        1.1044    0   6   4
                88.68          1.12        1.1030    3   4   6
                88.74          1.90        1.1024    4   3   6
                88.82          2.03        1.1016    6   0   4
                89.22          4.26        1.0977    1   3   8
                89.29          4.16        1.0971    3   1   8
                89.79          1.25        1.0922    1   6   4
                89.87          3.64        1.0915    1   5   6
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
