      Vistepite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070712 
      Hybler J, Petricek V, Jurek K, Skala R, Cisarova I
      The Canadian Mineralogist 35 (1997) 1283-1292
      Structure determination of vistepite SnMn4B2Si4O16(OH)2: Isotypism with
      bustamite, revised crystallographic data and composition

      CELL PARAMETERS:   6.9760  7.3680  7.6680   89.890   62.950   76.920
      SPACE GROUP: P-1       

                55.64         11.16        1.6517   -2  -3   2
                55.82          2.38        1.6469    3   2   4
                56.18          3.54        1.6372    4   0   1
                56.24         10.46        1.6357    2  -3   3
                56.34          2.26        1.6329    1   4   2
                56.50          3.95        1.6286    4   2   3
                56.55          2.94        1.6275    1   2   4
                56.69         13.33        1.6236   -2  -4   1
                57.29          1.11        1.6080    0   1   4
                57.52          1.64        1.6023   -1  -4   2
                57.55          2.83        1.6016   -1   4   0
                57.58          1.55        1.6007   -1  -3   3
                57.93          4.80        1.5920    3   4   1
                58.03          2.62        1.5894   -3  -3   1
                58.26          1.65        1.5836   -3   2   0
                58.32          3.19        1.5822   -3   1   1
                59.58          4.54        1.5517    4   1   0
                59.64          4.27        1.5502    0   3   3
                59.65          3.20        1.5500    4   1   4
                59.67          1.06        1.5496    4  -1   3
                60.20          1.53        1.5372   -1   2   3
                60.31          5.65        1.5347    4   0   4
                60.50          5.37        1.5302    4   2   0
                61.00          2.07        1.5190    3  -2   4
                61.56          7.76        1.5064   -2   3   1
                61.73          1.52        1.5026    4   0   0
                61.79          1.19        1.5014   -2   0   3
                61.86          6.47        1.4998    2  -1   5
                61.93          1.39        1.4983    2   1   5
                61.99          5.80        1.4970   -2  -2   3
                62.07          6.80        1.4953    2   4   3
                62.07          1.26        1.4952    4   2   4
                62.35          1.27        1.4892    3   3   4
                62.49          1.13        1.4862    0  -4   3
                62.54          1.40        1.4852    3  -3   2
                62.57          1.36        1.4846   -1   4   1
                62.87          2.62        1.4783    3   1   5
                62.98          1.53        1.4760    1  -4   3
                63.10          1.81        1.4734    1   5   0
                63.36          1.08        1.4679    1  -1   5
                63.43          1.11        1.4664    0   2   4
                63.48          3.02        1.4654    2  -3   4
                63.58          2.25        1.4633   -1   0   4
                63.59          6.03        1.4631    0  -3   4
                63.79          1.01        1.4591    3   4   3
                63.89          3.54        1.4570   -2  -4   2
                63.98          4.17        1.4552    4  -1   4
                64.07          1.49        1.4535   -3   0   2
                64.33          2.27        1.4481    2  -4   1
                64.34          4.38        1.4478    2  -4   2
                64.43          5.02        1.4461    4   3   0
                64.49          1.36        1.4450    3  -3   3
                64.57          1.23        1.4432    1   4   3
                64.59          1.66        1.4429    3  -1   5
                64.82          1.28        1.4383    1   3   4
                64.91          3.59        1.4365    2   5   0
                64.92          2.15        1.4364    2   5   1
                65.22          2.39        1.4306    1   1   5
                66.12          4.22        1.4131    4  -2   2
                66.17          5.86        1.4122   -2   1   3
                66.43          4.83        1.4073    2   2   5
                66.68          1.32        1.4026    4  -2   3
                66.80          4.32        1.4005   -4   1   0
                66.89          3.24        1.3987    4   4   2
                67.20          1.44        1.3931   -3  -3   2
                67.38          4.02        1.3899    4   3   4
                67.38          1.01        1.3898   -1   1   4
                67.42          1.36        1.3892    4   4   1
                67.93          1.75        1.3799    4   1   5
                68.18          2.88        1.3754    4   0   5
